# antenna = m062, -30:44:01.1, 21:25:43.9, 1041.568, 13.5, 0.0 0.0 0.0 0.0 3970.0 3991.68, -0:13:08.4 0 0 0 0 0 0:07:08.7, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed, wind_direction, sun_az, sun_el, timestamp
1449140896, 1253-055, 2015-12-03 11:17:34.337, 276.0428876, 21.4525915, -0.2244054, 0.0000000, 0.1120570, 0.0000000, counts, 10.3343172, 0.0000000, 0.1198588, 0.0000000, 2502.9833341, 0.0000000, 6.0000000, 6.3297688, 0.1196078, 1251.2497274, 6.0000000, 4.1020516, 0.1234838, 1251.6246826, 6.0000000, 12500.5000000, 23.0168, 33.60, 893.61, 15.00, 5.13, -58.23 , 302.6182521, 75.2193707, 1449141454 
1449140896, 1253-055, 2015-12-03 11:37:23.334, 273.3802067, 17.2082692, -0.2297974, 0.0000000, 0.1132612, 0.0000000, counts, 9.5750153, 0.0000000, 0.1214425, 0.0000000, 2495.9480593, 0.0000000, 6.0000000, 5.8173361, 0.1218116, 1265.7618265, 6.0000000, 3.9205578, 0.1249819, 1230.0872596, 6.0000000, 12500.5000000, 23.0168, 34.09, 893.46, 15.00, 4.81, -63.40 , 293.3947646, 71.4551988, 1449142643 
1449140896, 1921-293, 2015-12-03 11:47:07.087, 90.6749140, 71.5548992, -0.0450575, 0.0000000, 0.1124440, 0.0000000, counts, 4.6435499, 0.0000000, 0.1275412, 0.0000000, 2418.2144276, 0.0000000, 6.0000000, 2.5487862, 0.1197177, 1220.4086296, 6.0000000, 2.2186466, 0.1459572, 1197.5885999, 6.0000000, 12500.5000000, 11.4695, 34.28, 893.43, 15.00, 5.68, -34.87 , 289.9702717, 69.5130208, 1449143227 
1449140896, 1921-293, 2015-12-03 11:52:49.442, 89.9652437, 72.7839666, -0.0299570, 0.0000000, 0.1007232, 0.0000000, counts, 4.5926929, 0.0000000, 0.1142245, 0.0000000, 2416.8666498, 0.0000000, 2.0000000, 2.6259182, 0.1128879, 1220.0334710, 4.0000000, 5.6407879, 0.1791656, 1196.4935955, 0.0000000, 12500.5000000, 11.4695, 33.95, 893.33, 15.00, 5.90, -60.56 , 288.1994495, 68.3547779, 1449143569 
